Name	State	GPA	sGPA	recent GPA	PCE	CPhT	LoR	GRE	CASPER	Holistic	Tuition	Notes	Source
University of Washington (MEDEX)	WA	3.0	3.2	Prereqs within 7 years	2000	accepted	3	not required		TRUE	~$89,208 total (2025-27)	Min 3.0 (3.2 recommended); paid clinical experience only (EMT/paramedic volunteer exception).	https://familymedicine.uw.edu/medex/applicants/program-prerequisites/academic-prerequisites/
Utah Valley University	UT	2.8	2.8	If GPA 2.8-2.9, need 3.0+ on last 60 (or last 30 science)	2000	unspecified	3	not required		TRUE	~$86,700 resident / ~$134,700 non-resident total	A&P within 7 years; C or better; AP/CLEP not accepted; Kira Talent video (not Casper).	https://www.uvu.edu/physicianassistant/admissions/requirements/prerequisites.html
University of Utah	UT	3.0	3.0	None	2000	unspecified	3	not required	REQUIRED	TRUE	unspecified	2000 hrs direct patient care; bachelor's by matriculation; C or better; Casper required.	https://medicine.utah.edu/pa-program/admissions/requirements
University of New England	ME		3.0	Last 60 credit hours GPA 3.0+	500	unspecified	3	not required	NOT REQUIRED	TRUE	~$125,180 two-year total	3 LORs incl. one from a practicing PA; CASPer highly recommended; 20 PA shadowing hrs; C or better.	https://www.une.edu/catalog/2025-2026/graduate/master-science-physician-assistant
Des Moines University	IA	2.8		Chem & bio recommended within 5 years	750	unspecified		not required			~$110,460 total (2026-27)	Bachelor's required; no prereq below C; CLEP/AP not accepted; Psychology 6 sh incl. abnormal.	https://www.dmu.edu/pa/admission-requirements/
Boston University	MA		3.2	None	0	unspecified	3	not required	REQUIRED	TRUE	~$166,651 total (2026-27)	No min overall GPA; PCE valued but no set hours; prereqs in-person/hybrid; GRE/MCAT not required.	https://www.bu.edu/paprogram/admissions/how-to-apply/
Western Michigan University	MI	3.0		Min 3.0 in most recent 60 credit hours	1000	unspecified		not required		TRUE	In-state ~$82,463 / out-of-state ~$126,037 total (2026-27)	Direct patient contact required (shadowing excluded; volunteer 50%); C or better.	https://wmich.edu/pa/academics/apply
Keiser University [PROGRAM CLOSED]	FL	2.75	3.0	None		unspecified	3	required		TRUE	$9,594/semester (2013-14 catalog)	PROGRAM CLOSED - ARC-PA accreditation withdrawn eff. 12/31/2021; not accepting students. Data from last catalog.	https://www.keiseruniversity.edu/
Rutgers University	NJ	3.2	3.2	Emphasis on last 24 science credits (exception if 3.2+)	0	unspecified	3	not required	NOT REQUIRED	TRUE	unspecified (114 credits)	PCE required but no minimum hours; prereqs need C+; CASPA deadline Aug 1. Ranked highly.	https://shp.rutgers.edu/physician-assistant/master-of-science-physician-assistant-program/
University of Maryland Eastern Shore	MD	3.0	3.0	Prereqs within 6 years	500	unspecified	3	unspecified		TRUE	unspecified	Min grade B in prereqs; requires Medical Terminology; 150 PA shadowing hours required.	https://wwwcp.umes.edu/pa/admissions-process/
Weill Cornell Medicine	NY			Prereqs within 10 yrs; bio preferred within 5	500	unspecified	2	required	NOT REQUIRED		unspecified	B average expected (matriculant avg ~3.82); GRE all 3 sections, recommend >50th pct; 27-month.	https://teach.weill.cornell.edu/medical-education/programs/health-sciences-physician-assistants/admissions
Samuel Merritt University	CA	3.0	3.0	Last 60 units >3.4 preferred	2000	unspecified	3	not required	REQUIRED	TRUE	~$156,555 total (27-month)	PA-CAT required beginning 2026; prereqs preferred within 5 years; min grade C-.	https://www.samuelmerritt.edu/college-health-sciences/master-physician-assistant
Lincoln Memorial University	TN	2.8	2.8	None		accepted		unspecified		TRUE	unspecified	Harrogate campus; competitive ~3.2; min grade C; 40 PA shadowing hrs; requires Medical Terminology.	https://paharrogatecatalog.lmunet.edu/admission-requirements
South College	TN	2.75	2.75	Science prereqs within 7 years	0	unspecified	3	required		TRUE	unspecified	Knoxville campus; GRE or PA-CAT; no minimum PCE (preferred); suggested: orgo, biochem, genetics.	https://www.south.edu/physician-assistant-knoxville-admissions/
University of Nevada, Reno	NV	2.75		Prereqs within 7 years recommended	2000	unspecified	3	unspecified		TRUE	unspecified	Min grade B- per prereq; AP not accepted; NV residency + military service considered.	https://med.unr.edu/physician-assistant/admissions
Brenau University	GA	2.75	2.75	Prereqs within 10 years	500	unspecified	3	required	REQUIRED	TRUE	~$83,010 total est. (28-month)	Min grade C; GRE all 3 sections; requires General Psychology + College Algebra+; matriculates each January.	https://www.brenau.edu/programs/ms-physician-assistant-studies/
Hawaii Pacific University	HI	3.0	3.0	Alt: if cum GPA <3.0, eligible if science GPA >3.3; prereqs within 10 yrs	500	unspecified	2	not required		TRUE	$19,232/semester (~6 semesters)	MMS-PA, Honolulu; CASPA, docs due Aug 1; bachelor's required.	https://www.hpu.edu/gchs/mms-pa/admissions.html
Mayo Clinic School of Health Sciences	MN	3.50	3.50	Last 60 credit hours may be considered at director's discretion	500	not accepted	3	not required			~$127,518 total (est.)	Highest stated GPA bar (3.50); 2-yr MHS in PA Studies; ~two 4-hr PA shadowing shifts; CASPA.	https://college.mayo.edu/academics/health-sciences-education/physician-assistant-program-minnesota/how-to-apply/
Pacific University	OR		3.0	Last 45 credits GPA >=3.0; A&P within 7 years	1000	unspecified	2	not required	NOT REQUIRED	TRUE	~$158,905 total (2026-27)	"""Physician Associate Studies""; no bachelor's required (>=90 cr option); prereqs by Dec 31 prior year."	https://www.pacificu.edu/physician-assistant-studies-ms/admissions
Lawrence Technological University	MI			Unspecified	750	unspecified	3	not required			unspecified	ARC-PA Accreditation-Provisional; 2-yr MSPAS; rolling admissions, 30 seats; PA-CAT optional. Full prereq list not published on readable pages.	https://ltu.edu/programs/physician-assistant-studies/
Florida Gulf Coast University	FL	3.0	3.0	Prereqs within 7 years; min combined prereq GPA 3.0	250	not accepted	3	required		TRUE	In-state ~$55,024 / non-resident ~$138,479	Competitive PCE often >1000; min prereq grade C; GRE competitive >=153 V/Q; Medical Terminology required.	https://catalog.fgcu.edu/programs/physician-assistant-studies-mpas/
Stephens College	MO	3.0	3.0	Last 60 credit-hour GPA >=3.0; A&P within 7 years	750	unspecified	3	unspecified			unspecified	27-month; bachelor's required; 16 shadowing hrs (>=8 with PA); min grade C.	https://stephens.edu/apply-to-the-master-of-physician-assistant-studies/entrance-requirements/
